# HSK 3 (part 1) — extra example sentences (2 more per word).  Format: NO chunk/chunk/chunk。 | English
1 你/来了/啊！ | Oh, you're here!
1 这个/地方/真/漂亮/啊！ | What a beautiful place!
3 他/个子/很/矮。 | He's quite short.
3 这张/桌子/太/矮了。 | This table is too low.
4 你/有/什么/爱好？ | What hobbies do you have?
4 我的/爱好/是/看书。 | My hobby is reading.
6 图书馆里/很/安静。 | It's very quiet in the library.
6 请/大家/安静/一下。 | Please be quiet, everyone.
11 这位/阿姨/是/我/妈妈的/朋友。 | This lady is a friend of my mom's.
11 阿姨/做的/饭/很/好吃。 | Auntie's cooking is delicious.
14 请/把/门/关上。 | Please close the door.
14 你/把/书/放在/桌子上/吧。 | Put the book on the table.
19 他/一个人/搬不动/这张/桌子。 | He can't move this table by himself.
19 我们/明天/搬/家。 | We're moving house tomorrow.
20 我们/班/有/很多/留学生。 | There are a lot of international students in our class.
20 你/在/哪个/班？ | Which class are you in?
21 我/有/一个/好/办法。 | I have a good idea how to do it.
21 这个/问题/没有/办法/解决。 | There's no way to solve this problem.
23 现在/七点/半。 | It's half past seven.
23 我/吃了/半个/西瓜。 | I ate half a watermelon.
24 你/能/帮忙/吗？ | Can you help?
24 谢谢/你/来/帮忙。 | Thanks for coming to help.
25 经理/在/办公室/开会。 | The manager is in a meeting in his office.
25 我的/办公室/在/五楼。 | My office is on the fifth floor.
27 这个/包/很/漂亮。 | This bag is very pretty.
27 我的/包/在/哪儿？ | Where's my bag?
29 你/吃饱/了吗？ | Have you had enough to eat?
29 我/太/饱了，/吃不下了。 | I'm too full; I can't eat any more.
37 蛋糕/被/弟弟/吃了。 | The cake was eaten by my younger brother.
37 他/被/老师/表扬了。 | He was praised by the teacher.
38 我/是/北方人。 | I'm from the north.
38 北方的/人/喜欢/吃/面条。 | People in the north like eating noodles.
46 这个/城市的/变化/很大。 | This city has changed a lot.
46 最近/天气/变化/很快。 | The weather has been changing quickly lately.
53 别人/都/走了，/只有/他/还在。 | Everyone else has left; only he is still here.
53 不要/总是/麻烦/别人。 | Don't always bother other people.
54 这个/比较/便宜。 | This one is fairly cheap.
54 我/比较/喜欢/喝/茶。 | I prefer drinking tea.
55 我的/笔记本电脑/坏了。 | My laptop is broken.
55 他/带着/笔记本电脑/去/上课。 | He takes his laptop to class.
59 请/把/牛奶/放进/冰箱。 | Please put the milk in the fridge.
59 我家的/冰箱/是/新买的。 | Our fridge is new.
61 明天/有/足球/比赛。 | There's a football match tomorrow.
61 他/赢了/这次/比赛。 | He won this competition.
62 你/必须/按时/来。 | You must come on time.
62 我们/必须/马上/走。 | We must leave right away.
64 他的/鼻子/很/高。 | He has a high nose.
64 我/鼻子/不/舒服。 | My nose is bothering me.
67 这家/饭店/不但/菜/好吃，/而且/很/便宜。 | This restaurant's food is not only tasty but also cheap.
67 她/不但/漂亮，/而且/很/聪明。 | She's not only pretty but also clever.
77 请/看/一下/菜单。 | Please have a look at the menu.
77 菜单上/没有/这个/菜。 | This dish isn't on the menu.
80 我/参加了/学校的/唱歌/比赛。 | I took part in the school singing contest.
80 明天的/会议/你/参加/吗？ | Are you going to tomorrow's meeting?
82 春天/来了，/草/都/绿了。 | Spring is here and the grass has turned green.
82 草地上/有/很多/孩子/在/玩。 | There are lots of children playing on the grass.
83 这个/楼/有/二十/层。 | This building has twenty floors.
83 我/住在/三层。 | I live on the third floor.
85 他的/汉语/还/差/一点儿。 | His Chinese still isn't quite there.
85 我们/班/还/差/两个/人/没/来。 | Two people from our class still haven't come.
95 超市/几点/关门？ | What time does the supermarket close?
95 超市里/人/很多。 | There are a lot of people in the supermarket.
97 这次/考试/我的/成绩/不错。 | My results in this exam were pretty good.
97 他/学习/很/努力，/成绩/很好。 | He studies hard and gets good grades.
98 这个/城市/很/漂亮。 | This city is very beautiful.
98 我/喜欢/住在/大城市。 | I like living in a big city.
102 他/穿着/一件/白/衬衫。 | He's wearing a white shirt.
102 我/想/买/一件/新/衬衫。 | I want to buy a new shirt.
104 上课/不要/迟到。 | Don't be late for class.
104 对不起，/我/迟到了。 | Sorry, I'm late.
110 我们/坐/船/去/上海。 | We're going to Shanghai by boat.
110 河上/有/很多/船。 | There are lots of boats on the river.
116 除了/汉语，/他/还/会/说/日语。 | Besides Chinese, he also speaks Japanese.
116 除了/星期天，/我/每天/都/上班。 | I work every day except Sunday.
117 春天/的/天气/很/舒服。 | The weather in spring is very pleasant.
117 北京的/春天/经常/刮风。 | It's often windy in Beijing in spring.
122 我/买了/一本/汉语/词典。 | I bought a Chinese dictionary.
122 你/可以/查/一下/词典。 | You can look it up in the dictionary.
126 这个/孩子/非常/聪明。 | This child is very clever.
126 他/很/聪明，/学/什么/都/很快。 | He's very smart and picks everything up fast.
137 你/带/手机/了吗？ | Did you bring your phone?
137 我/带/你/去/看看。 | I'll take you to have a look.
142 妈妈/给/我/做了/一个/蛋糕。 | Mom made me a cake.
142 这个/蛋糕/太/甜了。 | This cake is too sweet.
143 我/当然/记得/你。 | Of course I remember you.
143 我/当然/愿意/帮/你。 | Of course I'm happy to help you.
145 别/担心，/我/没事。 | Don't worry, I'm fine.
145 妈妈/很/担心/我的/身体。 | Mom is very worried about my health.
154 我/每个/周末/都/打扫/房间。 | I clean my room every weekend.
