# HSK 4 example sentences (part 2).  Format: NO chunk/chunk/chunk。 | English
480 这次/会议/在/北京/举行。 | This conference is being held in Beijing.
485 别/生气，/我/是/跟/你/开玩笑的。 | Don't be angry, I was only joking.
486 今天/和/朋友/一起/玩得/很/开心。 | I had a great time with my friends today.
488 你/对/这件/事/有/什么/看法？ | What's your opinion on this?
492 来/北京/一定/要/尝尝/烤鸭。 | When you come to Beijing you must try the roast duck.
494 院子里/有/一棵/苹果树。 | There's an apple tree in the yard.
498 这只/小狗/没有/家，/真/可怜。 | This puppy has no home; it's really pitiful.
503 他/感冒了，/一直/咳嗽。 | He has a cold and keeps coughing.
504 我们家的/客厅/很/大。 | Our living room is very big.
505 你/没/来/参加/聚会，/太/可惜了。 | It's a real pity you didn't come to the party.
506 他/对/科学/非常/感兴趣。 | He's very interested in science.
508 这个/房间/是/空的，/你/可以/住。 | This room is empty; you can stay here.
509 恐怕/他/今天/不能/来了。 | I'm afraid he can't come today.
510 雨后的/空气/特别/新鲜。 | The air is especially fresh after rain.
514 这种/药/很/苦。 | This medicine is very bitter.
519 请/给/我/一瓶/矿泉水。 | Please give me a bottle of mineral water.
520 我/昨晚/没/睡好，/现在/很/困。 | I didn't sleep well last night and I'm very sleepy now.
523 他/拉着/我的/手/不/放。 | He held on to my hand and wouldn't let go.
524 四川菜/又/辣/又/香。 | Sichuan food is spicy and full of flavor.
526 现在/出发/已经/来不及了。 | It's already too late to set off now.
527 别/着急，/还/来得及。 | Don't worry, there's still time.
529 请/把/垃圾/扔/进/垃圾桶。 | Please put the rubbish in the bin.
530 他/太/懒了，/每天/都/起得/很/晚。 | He's too lazy; he gets up late every day.
533 这个/电影/很/浪漫。 | This film is very romantic.
535 动物园里的/老虎/在/睡觉。 | The tiger at the zoo is sleeping.
540 遇到/问题/要/冷静。 | Stay calm when you run into problems.
543 他们/俩/是/大学/同学。 | The two of them were classmates at university.
548 下了/雨/以后，/天气/凉快/多了。 | After the rain it's much cooler.
553 这个/礼拜天/你/有/空/吗？ | Are you free this Sunday?
554 我/头发/太/长了，/要/去/理发。 | My hair is too long; I need a haircut.
558 他/是/个/很/有/礼貌的/孩子。 | He's a very polite child.
560 对不起，/我/没有/零钱。 | Sorry, I don't have any small change.
561 另外，/我/还/想/说/一件/事。 | Also, there's one more thing I'd like to say.
563 他/力气/很大，/一个人/就/搬动了/桌子。 | He's very strong and moved the table by himself.
569 这首/歌/现在/非常/流行。 | This song is very popular right now.
576 你的/房间/太/乱了。 | Your room is too messy.
577 她/想/当/一名/律师。 | She wants to become a lawyer.
578 我/最/喜欢/一个人/去/旅行。 | What I like best is traveling alone.
582 麻烦/你/帮/我/关/一下/门。 | Could I trouble you to close the door for me?
583 他/做事/太/马虎，/经常/出错。 | He's too sloppy and often makes mistakes.
588 教室里/坐满了/学生。 | The classroom is full of students.
593 洗手间里/有/干净的/毛巾。 | There are clean towels in the restroom.
599 杭州/是/一座/美丽的/城市。 | Hangzhou is a beautiful city.
602 我/昨晚/做了/一个/奇怪的/梦。 | I had a strange dream last night.
607 他/跑/一百米/只/用了/十二秒。 | He ran a hundred meters in only twelve seconds.
609 我/第一次/来，/差点儿/迷路。 | It was my first time here and I almost got lost.
610 我/忘了/电脑的/密码。 | I forgot my computer password.
616 我的/母亲/是/一位/医生。 | My mother is a doctor.
621 老师/对/我们/非常/有/耐心。 | The teacher is very patient with us.
624 难道/你/不/知道/这件/事/吗？ | Don't tell me you didn't know about this?
627 我/头/疼，/很/难受。 | I have a headache and feel awful.
633 他的/工作/能力/很/强。 | He is very capable at his job.
642 对不起，/我/把/你的/书/弄/脏了。 | Sorry, I got your book dirty.
644 今天/比/昨天/暖和。 | Today is warmer than yesterday.
647 我/偶尔/也/会/喝/一点儿/酒。 | I do have a little drink now and then.
648 买/票/的人/都/在/排队。 | The people buying tickets are all queuing.
649 请/按照/顺序/排列/这些/句子。 | Please put these sentences in order.
650 你/能/判断/这句话/是/对/还是/错/吗？ | Can you judge whether this sentence is right or wrong?
656 周末/我/陪/妈妈/去/买/东西。 | At the weekend I'm going shopping with my mom.
658 这篇/文章/写得/很好。 | This article is very well written.
659 他/说的/都是/假话，/别/被/他/骗了。 | Everything he says is untrue; don't let him fool you.
663 她的/皮肤/又/白/又/好。 | Her skin is fair and lovely.
666 我/和/同学/经常/一起/打/乒乓球。 | My classmates and I often play table tennis together.
669 他/上课/迟到，/被/老师/批评了。 | He was late for class and got told off by the teacher.
670 我/爸爸的/脾气/很/好。 | My dad is very good-tempered.
672 我的/衣服/破了，/不能/再/穿了。 | My clothes are torn; I can't wear them any more.
674 这些/葡萄/又/大/又/甜。 | These grapes are big and sweet.
675 他的/普通话/说得/很/标准。 | His Mandarin is very standard.
682 你/千万/别/忘了/带/护照。 | Whatever you do, don't forget your passport.
683 办/签证/需要/准备/很多/材料。 | Getting a visa requires a lot of paperwork.
684 有人/在/敲/门。 | Someone is knocking at the door.
685 河上/有/一座/很/老的/桥。 | There's a very old bridge over the river.
686 我/最/喜欢/吃/巧克力。 | Chocolate is my favorite.
688 首先/要/多/听，/其次/要/多/说。 | First you must listen a lot, and second you must speak a lot.
691 这里的/气候/四季/都/很/舒服。 | The climate here is pleasant all year round.
695 这个/箱子/很/轻，/我/自己/能/拿。 | This box is light; I can carry it myself.
699 考完试/以后，/我/觉得/很/轻松。 | I feel very relaxed now the exam is over.
700 春节/的时候/我们/去/亲戚/家。 | At Spring Festival we visit our relatives.
701 他/小时候/家里/很/穷。 | His family was very poor when he was young.
705 我们班/有/二十个/学生，/其中/五个/是/日本人。 | Our class has twenty students, five of whom are Japanese.
708 我/去/银行/取/点儿/钱。 | I'm going to the bank to get some money out.
709 我/已经/把/作业/全部/写完了。 | I've finished all my homework.
710 这两个/词/有/什么/区别？ | What's the difference between these two words?
711 他/很/努力，/成绩/却/不/太/好。 | He works hard, but his grades aren't very good.
712 每个人/都/有/自己的/缺点。 | Everyone has their own faults.
713 这个/房间/缺少/一张/桌子。 | This room is missing a table.
717 他/很/想/去，/然而/没有/时间。 | He really wants to go; however, he has no time.
722 春节/的时候/街上/非常/热闹。 | The streets are very lively at Spring Festival.
723 不要/随便/扔/垃圾。 | Don't drop litter.
724 已经/十点了，/他/仍然/在/工作。 | It's already ten o'clock and he's still working.
732 我/每天/晚上/都/写/日记。 | I write in my diary every evening.
735 公园的/入口/在/哪儿？ | Where is the entrance to the park?
738 吃完/晚饭，/我们/去/散步/吧。 | Let's go for a walk after dinner.
739 这片/森林/里/有/很多/动物。 | There are many animals in this forest.
740 他/躺在/沙发上/看/电视。 | He's lying on the sofa watching TV.
744 这件/事/我们/商量/一下/再/决定。 | Let's talk it over before we decide.
747 她/丢了/手机，/非常/伤心。 | She lost her phone and is very upset.
750 我/用/勺子/喝/汤。 | I use a spoon to eat soup.
753 这条/河/很/深，/不要/下去/游泳。 | This river is very deep; don't go swimming in it.
754 盘子里/只/剩下/一个/饺子了。 | There's only one dumpling left on the plate.
755 坐/地铁/能/省/很多/时间。 | Taking the subway saves a lot of time.
758 我们/要/尊重/每一个/生命。 | We should respect every life.
761 他/在/上海/做/生意。 | He does business in Shanghai.
764 我/正在/申请/去/中国/留学。 | I'm applying to study in China.
766 他/忙得/甚至/没有/时间/吃饭。 | He's so busy he doesn't even have time to eat.
767 这个/好消息/使/大家/都/很/高兴。 | This good news made everyone very happy.
771 不要/害怕/失败。 | Don't be afraid of failure.
772 我/十分/感谢/你的/帮助。 | I'm extremely grateful for your help.
773 我/不知道/他/是否/同意。 | I don't know whether he agrees.
774 师傅，/去/火车站/多少/钱？ | Driver, how much is it to the railway station?
777 这座/桥/有/一个/世纪的/历史了。 | This bridge is a century old.
778 你的/计划/很好，/但/不太/实际。 | Your plan is good, but not very realistic.
782 他/没有/来，/我/很/失望。 | He didn't come, and I'm very disappointed.
784 这个/手机/使用/起来/很/方便。 | This phone is very easy to use.
785 我/实在/太/累了，/想/休息/一下。 | I'm really too tired; I want to rest a while.
786 我/昨天/收到了/你的/信。 | I received your letter yesterday.
789 天气/太/热了，/我/真/受不了。 | It's so hot; I really can't stand it.
791 北京/是/中国的/首都。 | Beijing is the capital of China.
792 那个/售货员/非常/热情。 | That shop assistant is very friendly.
794 他的/收入/比/以前/高了/很多。 | His income is much higher than before.
795 出发/前/请/收拾好/自己的/行李。 | Please pack your things before we set off.
799 我们/队/昨天/输了/比赛。 | Our team lost the match yesterday.
800 她的/男朋友/又/高/又/帅。 | Her boyfriend is tall and handsome.
808 今年/来/中国/留学的/学生/数量/增加了。 | The number of students coming to study in China has grown this year.
