# 排列顺序 (Reading part 2). Three sentences in the CORRECT order.
# Format:  first sentence | second sentence | third sentence
# The app shuffles them and labels them A/B/C; the learner must recover this order.
我昨天买了一个新手机 | 用了以后觉得非常方便 | 所以想推荐给我的朋友们
这家饭馆的菜很有名 | 每天来吃饭的人都很多 | 想去的话最好提前订位子
他从小就喜欢画画 | 后来考上了有名的艺术大学 | 现在已经成了一名画家
早上出门的时候还是晴天 | 没想到下午突然下起了大雨 | 我只好在商店里等雨停
为了能说好汉语 | 他每天都听录音、练习发音 | 半年以后进步非常明显
这次会议非常重要 | 请大家提前十分钟到 | 并且把手机关成静音
我们计划周末去爬山 | 可是天气预报说有雨 | 最后只好改到下个星期
这本书我读了两遍 | 每次都有新的感受 | 我觉得它值得慢慢读
他不小心把钥匙丢了 | 在门口等了一个多小时 | 直到妈妈下班回来才进去
医生给他做了检查 | 告诉他没什么大问题 | 只要多休息几天就好了
刚到北京的时候 | 我一句汉语也不会说 | 现在已经能和当地人聊天了
公司要招聘一名会计 | 很多人来参加面试 | 最后小李得到了这份工作
天气越来越冷了 | 妈妈给我寄来了一件毛衣 | 穿上以后感觉很温暖
这个周末是我朋友的生日 | 我想送她一份特别的礼物 | 所以逛了一下午的商店
他每天很早就起床 | 先跑半个小时的步 | 然后再去上班
我们约好八点在门口见面 | 可是他一直没来 | 打电话才知道他睡过头了
这道题看起来很难 | 但只要认真想一想 | 其实并不复杂
去年我来这个城市工作 | 刚开始很不习惯 | 现在已经把这里当成了家
听说图书馆新到了很多书 | 我今天特意去看了看 | 果然找到了想读的那几本
孩子考试考得很好 | 爸爸妈妈都很高兴 | 决定周末带他去动物园玩
这次旅行让我很难忘 | 不但看到了美丽的风景 | 还认识了很多新朋友
手机突然没电关机了 | 我找了半天也没找到充电的地方 | 只好先去问路边的服务员
他一直想学游泳 | 于是报了一个暑期班 | 两个月后已经游得很好了
房间里太乱了 | 我花了一上午时间收拾 | 现在看起来干净多了
小王是我们公司最年轻的经理 | 他工作非常认真 | 所以大家都很尊重他
虽然这家饭馆离我家很远 | 但是这里的菜又便宜又好吃 | 所以我经常来这儿吃饭
上个星期我感冒了 | 医生让我在家好好休息 | 因此我三天没去上班
学习一门语言并不容易 | 除了要记很多生词以外 | 还需要经常练习说和听
为了保护环境 | 我们应该少用塑料袋 | 出去买东西的时候最好自己带个包
我妹妹从小就喜欢唱歌 | 去年她参加了学校的唱歌比赛 | 结果获得了第一名
今天早上起床晚了 | 我连早饭都没来得及吃 | 就马上出门了
很多人认为运动越多越好 | 其实这种看法并不正确 | 运动太多也会影响健康
小李第一次来北京 | 他对这里的一切都很感兴趣 | 每天都要出去逛一逛
我和丈夫都很喜欢旅行 | 每年我们都会去一个新的地方 | 今年我们打算去云南
这本小说非常有意思 | 我一拿到就开始看 | 一直看到了晚上十二点
春节是中国最重要的节日 | 这时候不管离家多远 | 人们都会回家过年
