# HSK 4 (part 1) — extra example sentences (2 more per word).  Format: NO chunk/chunk/chunk。 | English
5 他们的/爱情/很/美。 | Their love is beautiful.
5 这首/歌/是/关于/爱情的。 | This song is about love.
7 明天的/工作/已经/安排好了。 | Tomorrow's work has already been arranged.
7 周末/你/有/什么/安排？ | What have you got planned for the weekend?
8 晚上/一个人/出去/不/安全。 | It's not safe to go out alone at night.
8 开车/要/注意/安全。 | Drive carefully.
9 他/每天/都/按时/上班。 | He gets to work on time every day.
9 请/按时/吃/药。 | Please take your medicine on time.
10 按照/计划，/我们/明天/出发。 | According to the plan, we leave tomorrow.
10 请/按照/顺序/排队。 | Please line up in order.
18 百分之/八十的/人/同意/这个/办法。 | Eighty percent of people agree with this approach.
18 今年/工资/增加了/百分之/十。 | Pay went up by ten percent this year.
22 你/真/棒！ | You're awesome!
22 这个/主意/太/棒了。 | That's a brilliant idea.
28 他/抱着/一个/大/箱子。 | He's carrying a big box in his arms.
28 妈妈/马上/把/孩子/抱/起来。 | Mom picked the child up at once.
30 我们/要/保护/动物。 | We must protect animals.
30 请/保护/好/你的/眼睛。 | Please take good care of your eyes.
31 你/报名/了吗？ | Have you signed up?
31 报名/时间/到/明天/结束。 | Registration closes tomorrow.
32 抱歉，/让/你/久等了。 | Sorry to keep you waiting.
32 我/很/抱歉/没/帮上/你。 | I'm sorry I couldn't help you.
33 我/保证/按时/完成。 | I promise to finish on time.
33 你/能/保证/他/会/来/吗？ | Can you guarantee he'll come?
35 这家/店的/包子/很/好吃。 | The steamed buns at this shop are delicious.
35 我/买了/四个/包子。 | I bought four steamed buns.
36 他的/工资/是/我的/三倍。 | His pay is three times mine.
36 这里的/东西/比/那里/贵/一倍。 | Things here cost twice as much as there.
42 我/太/笨了，/又/忘了。 | I'm so stupid, I've forgotten again.
42 他/一点儿/也/不/笨。 | He's not stupid at all.
43 我/本来/想/去，/后来/没/去。 | I was going to go, but in the end I didn't.
43 他/本来/是/老师。 | He was originally a teacher.
45 请/再/读/一遍。 | Please read it again.
45 我/已经/说了/三遍了。 | I've already said it three times.
47 请/在/这张/表格上/写/名字。 | Please write your name on this form.
47 表格/填好了/吗？ | Have you filled in the form?
48 他/笑着/表示/感谢。 | He smiled to show his thanks.
48 这个/字/表示/什么/意思？ | What does this character mean?
49 她/在/聚会上/表演了/唱歌。 | She sang at the party.
49 他们的/表演/很/精彩。 | Their performance was wonderful.
50 老师/经常/表扬/他。 | The teacher often praises him.
50 他/被/经理/表扬了。 | He was praised by the manager.
51 他的/发音/很/标准。 | His pronunciation is very standard.
51 这/是/我们/公司的/标准。 | This is our company's standard.
56 我/饿了，/想/吃/饼干。 | I'm hungry and want some biscuits.
56 这种/饼干/很/甜。 | These biscuits are very sweet.
57 他/会/说/汉语，/并且/说得/很好。 | He speaks Chinese, and speaks it well.
57 这里/交通/方便，/并且/很/安静。 | The transport here is convenient, and it's quiet too.
