# HSK 4 (part 3) — extra example sentences (2 more per word).  Format: NO chunk/chunk/chunk。 | English
621 他/对/孩子/很/有/耐心。 | He's very patient with children.
621 请/耐心/等/一下。 | Please wait patiently.
624 难道/你/忘了/吗？ | Surely you haven't forgotten?
624 难道/他/不/知道/吗？ | Doesn't he know?
627 听到/这个/消息，/我/心里/很/难受。 | I felt awful when I heard the news.
627 我/肚子/很/难受。 | My stomach feels awful.
630 请/在/三天/内/完成。 | Please finish within three days.
630 学校/内/不能/抽烟。 | Smoking isn't allowed on school grounds.
631 这本书的/内容/很/有意思。 | The content of this book is very interesting.
631 今天/上课的/内容/是/什么？ | What's today's lesson about?
633 他/很/有/能力。 | He's very capable.
633 我们/要/提高/自己的/能力。 | We should improve our abilities.
637 请/写/一下/你的/年龄。 | Please write down your age.
637 我们俩/年龄/差不多。 | The two of us are about the same age.
642 你/把/我的/书/弄/哪儿/去了？ | Where have you put my book?
642 我/弄/不/明白/这个/问题。 | I can't figure out this problem.
644 春天/来了，/天气/暖和了。 | Spring is here and it's warmer.
644 屋子里/很/暖和。 | It's warm inside.
647 我/偶尔/去/看/电影。 | I go to the cinema now and then.
647 他/偶尔/也/会/迟到。 | He's occasionally late too.
648 请/大家/排队。 | Please line up, everyone.
648 买/票/要/排队。 | You have to queue to buy tickets.
649 请/按/大小/排列。 | Please arrange them by size.
649 书/排列得/很/整齐。 | The books are neatly arranged.
650 你/的/判断/是/对的。 | Your judgment is correct.
650 我/很难/判断/谁/对/谁/错。 | It's hard for me to judge who's right and who's wrong.
656 我/陪/你/去/医院。 | I'll go to the hospital with you.
656 周末/我/要/陪/孩子。 | I'm spending the weekend with the kids.
658 我/写了/一篇/日记。 | I wrote a diary entry.
658 这篇/小说/很/长。 | This novel is very long.
659 你/别/骗/我。 | Don't lie to me.
659 他/被/人/骗了。 | He was cheated.
663 她的/皮肤/很/白。 | Her skin is very fair.
663 夏天/要/保护/皮肤。 | You need to protect your skin in summer.
666 你/会/打/乒乓球/吗？ | Can you play table tennis?
666 乒乓球/是/中国的/国球。 | Table tennis is China's national sport.
667 我/平时/七点/起床。 | I usually get up at seven.
667 他/平时/很少/说话。 | He normally doesn't say much.
669 老师/批评了/他。 | The teacher criticized him.
669 你/不要/批评/别人。 | Don't criticize other people.
670 他的/脾气/很/大。 | He has a bad temper.
670 她/脾气/很/好。 | She's very good-natured.
672 我的/衣服/破了。 | My clothes are torn.
672 杯子/被/我/打破了。 | I broke the cup.
673 这种/情况/很/普遍。 | This situation is very common.
673 现在/手机/很/普遍。 | Mobile phones are everywhere now.
674 我/喜欢/吃/葡萄。 | I like eating grapes.
674 这些/葡萄/很/甜。 | These grapes are very sweet.
675 他/说/普通话。 | He speaks Mandarin.
675 我/在/学习/普通话。 | I'm learning Mandarin.
682 你/千万/要/小心。 | You must be careful.
682 千万/别/告诉/别人。 | Whatever you do, don't tell anyone.
683 我的/签证/办好了。 | My visa is ready.
683 你/需要/签证/吗？ | Do you need a visa?
684 有人/敲/门。 | Someone's knocking at the door.
684 请/先/敲/门/再/进来。 | Please knock before coming in.
685 我们/过/桥/吧。 | Let's cross the bridge.
685 这座/桥/很/长。 | This bridge is very long.
686 这块/巧克力/很/甜。 | This chocolate is very sweet.
686 我/给/你/买了/巧克力。 | I bought you some chocolate.
688 首先/要/努力，/其次/要/有/方法。 | First you have to work hard; second you need a method.
688 质量/最/重要，/其次/是/价格。 | Quality matters most, followed by price.
691 这里的/气候/很/好。 | The climate here is good.
691 我/不/习惯/这里的/气候。 | I'm not used to the climate here.
695 这个/包/很/轻。 | This bag is very light.
695 请/说话/轻/一点儿。 | Please speak a bit more quietly.
698 现在/情况/怎么样？ | What's the situation now?
698 我/不/了解/这个/情况。 | I don't know about this situation.
699 今天的/工作/很/轻松。 | Today's work is easy.
699 周末/我/想/轻松/一下。 | I want to take it easy at the weekend.
700 我/在/北京/有/很多/亲戚。 | I have lots of relatives in Beijing.
700 他/是/我的/亲戚。 | He's a relative of mine.
701 他/家/以前/很/穷。 | His family used to be poor.
701 穷/不/可怕，/可怕的/是/不/努力。 | Being poor isn't frightening; not trying is.
705 我/有/很多/朋友，/其中/两个/是/中国人。 | I have many friends, two of whom are Chinese.
705 这些/书/我/都/看过，/其中/这本/最/好。 | I've read all these books, and this one is the best.
708 我/去/邮局/取/东西。 | I'm going to the post office to collect something.
708 你/取/钱/了吗？ | Have you taken out the money?
709 我/全部/都/明白了。 | I understand it all.
709 全部/的/人/都/来了。 | Everyone has come.
710 这/两个/有/什么/区别？ | What's the difference between these two?
710 它们/没有/区别。 | There's no difference between them.
711 我/很/想/去，/他/却/不/想/去。 | I really want to go, but he doesn't.
711 天/很/冷，/他/却/穿得/很/少。 | It's very cold, yet he's wearing very little.
712 他的/缺点/是/太/马虎。 | His weakness is that he's too careless.
712 我/也/有/很多/缺点。 | I have lots of faults too.
713 我们/缺少/一个/人。 | We're one person short.
713 他/缺少/工作/经验。 | He lacks work experience.
714 他/确实/很/努力。 | He really does work hard.
714 这个/办法/确实/不错。 | This idea is genuinely good.
717 他/很/努力，/然而/没/成功。 | He worked hard; however, he didn't succeed.
717 我/以为/他/会/来，/然而/他/没/来。 | I thought he'd come, but he didn't.
722 这条/街/很/热闹。 | This street is very lively.
722 周末/公园里/很/热闹。 | The park is busy at weekends.
723 他/把/球/扔/给/我。 | He threw the ball to me.
723 请/把/垃圾/扔掉。 | Please throw the rubbish away.
724 他/仍然/没/来。 | He still hasn't come.
724 虽然/下雨，/比赛/仍然/进行。 | Although it was raining, the match still went ahead.
725 我/没有/任何/问题。 | I have no problems at all.
725 任何/人/都/可以/参加。 | Anyone can take part.
728 这个/任务/很/难。 | This task is very difficult.
728 他/完成了/任务。 | He completed the task.
732 我/每天/写/日记。 | I write in my diary every day.
732 这/是/我的/日记。 | This is my diary.
735 入口/在/那边。 | The entrance is over there.
735 请/从/入口/进。 | Please go in through the entrance.
738 我们/去/散步/吧。 | Let's go for a walk.
738 他/每天/晚上/都/去/散步。 | He goes for a walk every evening.
739 森林里/有/很多/动物。 | There are lots of animals in the forest.
739 我们/在/森林里/迷路了。 | We got lost in the forest.
740 这个/沙发/很/舒服。 | This sofa is very comfortable.
740 他/在/沙发上/睡着了。 | He fell asleep on the sofa.
744 我们/商量/一下/吧。 | Let's talk it over.
744 他/跟/父母/商量了/很久。 | He talked it over with his parents for a long time.
747 你/别/伤心/了。 | Don't be sad.
