# One example sentence per line.
# Format:  NO  chunk/chunk/chunk。 | English
#   NO   = word number from words.json (the target word must appear in the sentence)
#   /    = splits the sentence into chunks used by 连词成句 (build) mode; the last chunk keeps end punctuation
#   The target word should be its own chunk. Keep sentences <= 28 chars for build mode.
# ---- HSK 1 ----
2 我/爱/我的/家人。 | I love my family.
12 我们/班/有/八/个/学生。 | Our class has eight students.
15 我/爸爸/是/老师。 | My father is a teacher.
76 我/想/吃/中国/菜。 | I want to eat Chinese food.
103 你/想/吃/什么？ | What do you want to eat?
131 这个/西瓜/很/大。 | This watermelon is very big.
164 这/是/我/的/书。 | This is my book.
173 现在/几/点？ | What time is it now?
174 我/用/电脑/工作。 | I use a computer to work.
177 我们/晚上/看/电影/吧。 | Let's watch a movie tonight.
194 我/要/买/一些/东西。 | I want to buy some things.
209 你/有/多/少/钱？ | How much money do you have?
274 认识/你/我/很/高兴。 | I'm very glad to meet you.
292 他/在/医院/工作。 | He works at a hospital.
333 我/在/学习/汉语。 | I am studying Chinese.
335 今天/天气/很/好。 | The weather is very good today.
341 我/喜欢/喝/茶。 | I like to drink tea.
345 这/本/书/很/有意思。 | This book is very interesting.
364 他/会/说/一点儿/汉语。 | He can speak a little Chinese.
401 大家/都/叫/我/小王。 | Everyone calls me Xiao Wang.
458 今天/是/星期一。 | Today is Monday.
487 我/看/见/他/了。 | I saw him.
525 请/明天/来/我/家。 | Please come to my home tomorrow.
536 我们/的/老师/很/热情。 | Our teacher is very warm.
584 我/想/买/一件/衣服。 | I want to buy a piece of clothing.
613 你/叫/什么/名字？ | What is your name?
635 明/年/我/要/去/中国。 | I will go to China next year.
665 桌子/上/有/几/个/苹果。 | There are some apples on the table.
694 请/给/我/一杯/水。 | Please give me a glass of water.
726 我/很/高兴/认识/你。 | I am very glad to know you.
768 现在/是/十/点。 | It is ten o'clock now.
797 我/在/看/一本/书。 | I am reading a book.
806 孩子/已经/睡觉/了。 | The child is already asleep.
826 我/女儿/今年/五/岁。 | My daughter is five years old this year.
857 今天/天气/很/热。 | The weather is hot today.
864 我/喜欢/听/音乐。 | I like listening to music.
910 我/是/中国人。 | I am Chinese.
938 这个/孩子/很/小。 | This child is very small.
954 请/在/这里/写/名字。 | Please write your name here.
959 我/很/喜欢/这/个/城市。 | I really like this city.
970 这个/星期/我/很/忙。 | I am very busy this week.
991 我/在/学校/学习/汉语。 | I study Chinese at school.
1053 他/去/医院/看病/了。 | He went to the hospital to see a doctor.
1060 我/有/两/个/哥哥。 | I have two older brothers.
1099 老师/现在/在/教室/里。 | The teacher is in the classroom now.
1123 这/是/谁/的/手机？ | Whose phone is this?
1160 我/住/在/学校/附近。 | I live near the school.
1190 你/在/做/什么？ | What are you doing?
1191 请/坐/这里。 | Please sit here.
# ---- HSK 2 ----
26 谢谢/你/的/帮助。 | Thank you for your help.
44 今天/比/昨天/冷。 | Today is colder than yesterday.
121 请/再/说/一/次。 | Please say it one more time.
128 这个/字/我/写/错/了。 | I wrote this character wrong.
148 我/等/一下/就/到。 | I'll arrive in a moment.
188 他/是/我/第一/个/朋友。 | He is my first friend.
191 你/懂/我/的/意思/吗？ | Do you understand what I mean?
203 你/的/回答/对/吗？ | Is your answer correct?
240 这里/的/东西/非常/便宜。 | The things here are very cheap.
