# HSK 3 example sentences.  Format: NO chunk/chunk/chunk。 | English
1 这里的/风景/多么/美/啊！ | How beautiful the scenery is here!
3 我/比/哥哥/矮/一点儿。 | I'm a little shorter than my older brother.
11 阿姨，/请问/超市/在/哪儿？ | Excuse me, ma'am, where is the supermarket?
14 我/买了/一把/新/伞。 | I bought a new umbrella.
19 我们/下个月/要/搬/家了。 | We're moving house next month.
20 我们/班/一共/有/二十个/学生。 | There are twenty students in our class in total.
23 我/等了/你/半个小时。 | I waited for you for half an hour.
25 王老师/在/办公室/里。 | Teacher Wang is in the office.
27 你的/包/里/有/什么？ | What's in your bag?
29 我/已经/吃饱了，/谢谢。 | I'm already full, thanks.
37 我的/自行车/被/人/骑走了。 | My bicycle was ridden off by someone.
38 北方的/冬天/比/南方/冷/多了。 | Winters in the north are much colder than in the south.
53 不要/随便/拿/别人的/东西。 | Don't just take other people's things.
54 今天/比较/忙，/明天/再/说吧。 | I'm rather busy today; let's talk tomorrow.
55 我/想/买/一台/笔记本电脑。 | I want to buy a laptop.
59 冰箱里/还有/一些/牛奶。 | There's still some milk in the fridge.
62 明天/你/必须/早点儿/来。 | You must come a bit earlier tomorrow.
64 我/感冒了，/鼻子/很/不舒服。 | I have a cold and my nose feels bad.
67 他/不但/会/说/汉语，/而且/说得/很好。 | He can not only speak Chinese, but speaks it very well.
77 服务员，/请/给/我们/菜单。 | Waiter, please bring us the menu.
80 你/明天/参加/比赛/吗？ | Are you taking part in the competition tomorrow?
82 请/不要/在/草地上/踢球。 | Please don't play football on the grass.
83 我家/住在/十二层。 | My home is on the twelfth floor.
85 现在/差/五分/八点。 | It's five minutes to eight.
95 我/去/超市/买/点儿/东西。 | I'm going to the supermarket to buy a few things.
97 他的/考试/成绩/非常/好。 | His exam results are excellent.
98 上海/是/一个/很大的/城市。 | Shanghai is a very big city.
102 这件/衬衫/有点儿/大。 | This shirt is a little big.
110 我们/坐/船/去/那个/小岛。 | We'll take a boat to that little island.
116 除了/小王，/大家/都/来了。 | Everyone came except Xiao Wang.
117 春天/来了，/花/都/开了。 | Spring has come and the flowers are all out.
122 这本/词典/对/学习/汉语/很/有用。 | This dictionary is very useful for learning Chinese.
137 出门/别忘了/带/伞。 | Don't forget to take an umbrella when you go out.
142 这个/蛋糕/是/我/自己/做的。 | I made this cake myself.
156 你/暑假/打算/做/什么？ | What are you planning to do in the summer holidays?
162 孩子们/高兴/地/跑/过来了。 | The children came running over happily.
166 离开/房间/的时候/请/关/灯。 | Please turn off the light when you leave the room.
176 电梯/坏了，/我们/只能/走/楼梯。 | The elevator is broken; we have to take the stairs.
178 我/昨天/给/你/发了/一封/电子邮件。 | I sent you an email yesterday.
183 这个/地方/的/风景/很/美。 | The scenery in this place is beautiful.
185 坐/地铁/去/公司/很/方便。 | Taking the subway to the office is convenient.
186 我们/看看/地图/吧。 | Let's have a look at the map.
190 太阳/从/东边/出来。 | The sun comes up in the east.
192 这里的/冬天/非常/冷。 | Winters here are very cold.
193 熊猫/是/一种/很/可爱的/动物。 | The panda is a very cute animal.
198 这段/时间/我/特别/忙。 | I've been especially busy lately.
199 这条/裤子/太/短了。 | These trousers are too short.
210 这个/孩子/多么/可爱/啊！ | What a lovely child!
213 我/饿了，/我们/去/吃饭/吧。 | I'm hungry, let's go and eat.
216 我的/耳朵/有点儿/疼。 | My ear hurts a little.
