# 看图，用词造句 (Writing part 2). Look at the picture (emoji), write a sentence with the given word.
# Format:  word | emoji | model sentence | model sentence (2+ models; each must contain the word)
锻炼 | 🏃 | 他每天早上都在公园锻炼身体。 | 多锻炼对我们的健康很有好处。
习惯 | 🌅 | 我已经习惯了早睡早起的生活。 | 养成好的学习习惯很重要。
帮助 | 🤝 | 谢谢你在我困难的时候帮助我。 | 我们应该互相帮助。
高兴 | 😄 | 认识你我感到非常高兴。 | 听到这个好消息，大家都很高兴。
旅游 | 🧳 | 这个假期我打算去南方旅游。 | 和家人一起旅游是件快乐的事。
努力 | 💪 | 只要努力，就一定会有进步。 | 他学习很努力，成绩越来越好。
礼物 | 🎁 | 这是我送给妈妈的生日礼物。 | 收到朋友的礼物我很感动。
做饭 | 🍳 | 周末我喜欢自己在家做饭。 | 妈妈做饭做得非常好吃。
看书 | 📖 | 他每天晚上都会看书。 | 图书馆里很多人在安静地看书。
下雨 | 🌧️ | 外面下雨了，你带伞了吗？ | 天气预报说明天会下雨。
运动 | ⚽ | 经常运动可以让身体更健康。 | 我最喜欢的运动是打篮球。
生日 | 🎂 | 今天是我朋友的生日。 | 我们一起为他过了一个快乐的生日。
打电话 | 📞 | 到家以后请给我打电话。 | 他正在给妈妈打电话。
咖啡 | ☕ | 早上我习惯喝一杯咖啡。 | 这家店的咖啡很好喝。
公园 | 🌳 | 周末我们一家人去公园散步。 | 这个公园又大又漂亮。
飞机 | ✈️ | 我明天要坐飞机去北京。 | 飞机马上就要起飞了。
医生 | 🩺 | 生病了应该去医院看医生。 | 我的理想是当一名医生。
学习 | 📚 | 我们要认真学习汉语。 | 他学习一直都很努力。
音乐 | 🎵 | 听音乐让我觉得很放松。 | 她非常喜欢中国的音乐。
吃饭 | 🍚 | 我们一起去餐厅吃饭吧。 | 吃饭前要记得洗手。
睡觉 | 😴 | 孩子已经睡觉了。 | 晚上早点儿睡觉对身体好。
购物 | 🛒 | 周末她喜欢去商场购物。 | 现在很多人在网上购物。
打扮 | 💄 | 她今天打扮得特别漂亮。 | 她正在镜子前打扮自己。
干杯 | 🥂 | 为了我们的友谊，干杯！ | 大家举起杯子一起干杯。
打针 | 💉 | 孩子很害怕打针。 | 护士正在给病人打针。
理发 | 💇 | 我的头发太长了，该去理发了。 | 这家店理发很便宜。
迷路 | 🗺️ | 我第一次来这儿，差点儿迷路了。 | 他拿着地图还是迷路了。
排队 | 🧍🧍🧍 | 大家正在排队买票。 | 请大家排队上车。
弹钢琴 | 🎹 | 她从小就开始学弹钢琴。 | 他弹钢琴弹得非常好。
表演 | 🎭 | 孩子们的表演非常精彩。 | 她正在台上表演节目。
放松 | 🧘 | 工作累了要学会放松。 | 周末我喜欢听音乐放松一下。
擦 | 🧽 | 他正在擦桌子。 | 请把窗户擦干净。
抱 | 🤗 | 妈妈紧紧地抱着孩子。 | 他们见面的时候高兴地抱在一起。
堵车 | 🚗🚕🚙 | 上班时间路上经常堵车。 | 因为堵车，我迟到了半个小时。
发烧 | 🤒 | 他发烧了，今天没去上课。 | 孩子发烧了，妈妈很着急。
感冒 | 🤧 | 天气冷了，小心别感冒。 | 我感冒了，一直咳嗽。
游泳 | 🏊 | 夏天我最喜欢去游泳。 | 他游泳游得很快。
打篮球 | 🏀 | 下课后我们经常一起打篮球。 | 他打篮球打得非常好。
踢足球 | ⚽ | 孩子们在操场上踢足球。 | 我哥哥很喜欢踢足球。
爬山 | ⛰️ | 周末我们一起去爬山吧。 | 爬山可以锻炼身体。
骑 | 🚲 | 我每天骑自行车上班。 | 他骑车骑得很快。
照 | 📸 | 我们在长城上照了很多照片。 | 请帮我们照一张相。
搬 | 📦 | 我们下个月要搬家了。 | 他一个人搬不动这个箱子。
洗澡 | 🛁 | 他每天晚上都要洗澡。 | 洗澡以后，孩子就去睡觉了。
刷牙 | 🪥 | 睡觉前一定要刷牙。 | 他每天早上起床后先刷牙。
结婚 | 💒 | 他们下个月就要结婚了。 | 我姐姐去年结婚了。
毕业 | 🎓 | 他今年大学毕业了。 | 毕业以后我想去中国工作。
加班 | 🌙💻 | 他最近每天都加班到很晚。 | 今天我又要加班了。
聚会 | 🎉 | 周末我们要在家里举办聚会。 | 聚会上大家玩得很开心。
散步 | 🚶 | 吃完晚饭，我们去公园散步。 | 爷爷每天都出去散步。
减肥 | ⚖️ | 为了减肥，她每天都去跑步。 | 减肥不能只靠不吃饭。
咳嗽 | 😷 | 他感冒了，咳嗽得很厉害。 | 你咳嗽了好几天了，快去看医生吧。
哭 | 😢 | 那个孩子为什么在哭？ | 听到这个消息，她难过得哭了。
笑 | 😂 | 听了他的笑话，大家都笑了。 | 她笑起来非常好看。
生气 | 😠 | 他今天为什么这么生气？ | 别生气了，我不是故意的。
紧张 | 😰 | 考试前我总是很紧张。 | 第一次上台表演，她非常紧张。
吃惊 | 😲 | 听到这个消息，大家都很吃惊。 | 他吃惊地看着我。
困 | 😴 | 我昨晚没睡好，现在很困。 | 他困得在课上睡着了。
害羞 | ☺️ | 这个小女孩很害羞。 | 他害羞得脸都红了。
厨房 | 🍳 | 妈妈正在厨房里做饭。 | 我家的厨房不太大。
蛋糕 | 🎂 | 这个生日蛋糕是我自己做的。 | 我给妈妈买了一个大蛋糕。
行李箱 | 🧳 | 我的行李箱太重了。 | 他拉着行李箱去了机场。
登机牌 | 🎫 | 请拿好您的登机牌。 | 我在机场办好了登机牌。
签证 | 🛂 | 去中国留学需要办签证。 | 我的签证已经办好了。
熊猫 | 🐼 | 熊猫是中国特有的动物。 | 孩子们都很喜欢看熊猫。
老虎 | 🐯 | 动物园里的老虎正在睡觉。 | 那只老虎看起来很厉害。
雪 | ❄️ | 北方的冬天经常下雪。 | 外面下了很大的雪。
植物 | 🪴 | 她家里养了很多植物。 | 植物需要阳光和水。
修理 | 🔧 | 我的自行车坏了，需要修理。 | 师傅正在修理电脑。
打印 | 🖨️ | 请帮我把这份材料打印出来。 | 我去办公室打印一些文件。
寄 | 📮 | 我去邮局给家里寄了一封信。 | 我把礼物寄给了远方的朋友。
敲 | 🚪 | 有人在敲门。 | 进来之前请先敲门。
扔 | 🗑️ | 请不要随便扔垃圾。 | 他把旧报纸都扔了。
躺 | 🛋️ | 他躺在沙发上看电视。 | 你累了就躺下休息一会儿吧。
饺子 | 🥟 | 春节的时候我们全家一起包饺子。 | 我最喜欢吃妈妈做的饺子。
西瓜 | 🍉 | 这个西瓜又大又甜。 | 天气热的时候我喜欢吃西瓜。
祝贺 | 🎊 | 祝贺你考上了大学！ | 大家都来祝贺他获得第一名。
乒乓球 | 🏓 | 我和朋友经常一起打乒乓球。 | 他乒乓球打得非常好。
羽毛球 | 🏸 | 我每周打两次羽毛球。 | 我们在公园里打羽毛球。
网球 | 🎾 | 他每个周末都去打网球。 | 我想跟你学打网球。
司机 | 🚕 | 他是一名出租车司机。 | 司机把我们送到了机场。
警察 | 👮 | 有问题可以找警察帮忙。 | 警察帮那个孩子找到了妈妈。
律师 | ⚖️👩 | 她的理想是当一名律师。 | 这件事你最好问问律师。
记者 | 🎤 | 她是一名新闻记者。 | 很多记者来参加这次会议。
