# HSK 4 (part 2) — extra example sentences (2 more per word).  Format: NO chunk/chunk/chunk。 | English
316 学习/是/一个/慢慢/积累的/过程。 | Learning is a process of gradual accumulation.
316 请/说/一下/事情的/过程。 | Please describe how it happened.
317 你的/国籍/是/什么？ | What's your nationality?
317 他的/国籍/是/美国。 | His nationality is American.
318 这/是/一个/国际/比赛。 | This is an international competition.
318 他/在/国际/学校/上学。 | He goes to an international school.
321 我/每天/早上/喝/果汁。 | I drink juice every morning.
321 你/要/果汁/还是/牛奶？ | Would you like juice or milk?
323 他/是/故意/这么/做的。 | He did it on purpose.
323 我/不是/故意/迟到的。 | I didn't mean to be late.
327 她/第一次/见/我/很/害羞。 | She was shy the first time she met me.
327 别/害羞，/大声/说。 | Don't be shy, speak up.
328 地球上/大部分/是/海洋。 | Most of the Earth is ocean.
328 海洋里/有/很多/鱼。 | There are lots of fish in the ocean.
330 跑完步/我/出了/很多/汗。 | I sweated a lot after running.
330 他/热得/满头/大汗。 | He's so hot he's dripping with sweat.
331 我的/航班/几点/起飞？ | What time does my flight leave?
331 这个/航班/推迟了。 | This flight has been delayed.
332 寒假/你/去/哪儿？ | Where are you going in the winter holidays?
332 寒假/有/一个/月。 | The winter holidays last a month.
337 早睡/早起/有/很多/好处。 | Going to bed and getting up early has lots of benefits.
337 学/外语/有/什么/好处？ | What are the benefits of learning a foreign language?
338 请/告诉/我/你的/号码。 | Please tell me your number.
338 这个/房间/号码/是/多少？ | What's the number of this room?
339 他/好像/生病了。 | He seems to be ill.
339 天/好像/要/下雨了。 | It looks like it's going to rain.
342 他的/考试/成绩/合格了。 | He passed the exam.
342 他/是/一名/合格的/老师。 | He is a qualified teacher.
346 这件/衣服/你/穿/很/合适。 | This fits you well.
346 现在/去/不太/合适。 | It's not a good time to go now.
347 这个/盒子/很/漂亮。 | This box is very pretty.
347 盒子里/有/一块/手表。 | There's a watch in the box.
350 这件/衣服/很/厚。 | This is very thick.
350 冬天/要/穿/厚/衣服。 | You need to wear warm clothes in winter.
351 我/不/后悔。 | I don't regret it.
351 他/后悔/没有/好好/学习。 | He regrets not studying properly.
358 我/怀疑/这个/消息/是/假的。 | I suspect this news is fake.
358 你/不要/怀疑/自己。 | Don't doubt yourself.
368 我/常常/回忆/小时候的/事。 | I often think back to my childhood.
368 这些/照片/有/很多/回忆。 | These photos hold a lot of memories.
369 现在/人人/都/用/互联网。 | Everyone uses the Internet nowadays.
369 我/在/互联网上/找到了/答案。 | I found the answer on the Internet.
370 这首/歌/最近/很/火。 | This song is really popular right now.
370 他/一下子/就/火了。 | He became famous overnight.
372 他/获得了/一个/好/机会。 | He got a good opportunity.
372 她/获得了/大家的/支持。 | She won everyone's support.
373 周末/有/什么/活动？ | What's on at the weekend?
373 我/参加了/学校的/活动。 | I took part in a school event.
374 这个/孩子/很/活泼。 | This child is very lively.
374 小狗/又/活泼/又/可爱。 | The puppy is lively and cute.
377 我们/要/互相/学习。 | We should learn from each other.
377 他们/互相/看了/一眼。 | They looked at each other.
380 我/给/朋友/寄了/一封/信。 | I sent a letter to a friend.
380 这些/书/是/妈妈/寄/来的。 | Mom sent me these books.
381 这/是/假/钱。 | This is fake money.
381 这/个/手表/是/假的。 | This watch is a fake.
383 我/今天/要/加班。 | I have to work overtime today.
383 他/经常/加班/到/十点。 | He often works late until ten.
384 这个/价格/太/贵了。 | This price is too high.
384 两家/店的/价格/差不多。 | The two shops' prices are about the same.
385 这些/家具/都/很/新。 | This furniture is all very new.
385 我们/想/买/新/家具。 | We want to buy new furniture.
388 你/要/坚持/下去。 | You have to keep going.
388 他/每天/坚持/跑步。 | He sticks to running every day.
390 我/想/减肥。 | I want to lose weight.
390 她/减肥/成功了。 | She managed to lose weight.
392 价格/降低了/很多。 | The price has come down a lot.
392 晚上/温度/降低了。 | The temperature dropped in the evening.
393 他/拿到了/很多/奖金。 | He got a big bonus.
393 今年的/奖金/比/去年/多。 | This year's bonus is bigger than last year's.
394 将来/你/想/做/什么？ | What do you want to do in the future?
394 我/将来/想/当/老师。 | I want to be a teacher in the future.
395 飞机/马上/就要/降落了。 | The plane is about to land.
395 飞机/在/北京/降落。 | The plane lands in Beijing.
398 我们/要/减少/浪费。 | We need to cut down on waste.
398 今年/游客/减少了。 | There are fewer tourists this year.
399 你/有/什么/建议？ | Do you have any suggestions?
399 医生/建议/我/多/休息。 | The doctor advised me to rest more.
400 请/按时/交/作业。 | Please hand in your homework on time.
400 我/在/中国/交了/很多/朋友。 | I've made lots of friends in China.
405 他/很/骄傲。 | He's very arrogant.
405 你/是/我们的/骄傲。 | You're our pride and joy.
406 我们/用/汉语/交流。 | We communicate in Chinese.
406 多/和/别人/交流/很/重要。 | It's important to communicate with others.
407 我/住在/郊区。 | I live in the suburbs.
407 周末/我们/去/郊区/玩。 | At the weekend we go out to the suburbs.
409 他/是/大学/教授。 | He's a university professor.
409 这位/教授/很/有名。 | This professor is very well known.
410 这里的/交通/很/方便。 | The transport here is very convenient.
410 早上/交通/很/不好。 | The traffic is bad in the morning.
411 教育/对/孩子/很/重要。 | Education is very important for children.
411 父母/很/重视/孩子的/教育。 | Parents take their children's education very seriously.
412 我/很/喜欢/吃/饺子。 | I love eating dumplings.
412 你/会/包/饺子/吗？ | Can you make dumplings?
413 附近/有/加油站/吗？ | Is there a gas station nearby?
413 我们/先/去/加油站/加油。 | Let's go to the gas station and fill up first.
415 他的/汉语/基础/很好。 | He has a good foundation in Chinese.
415 学好/基础/很/重要。 | It's important to learn the basics well.
418 听到/这个/消息，/他/很/激动。 | He was very excited to hear the news.
418 别/激动，/慢慢/说。 | Calm down and speak slowly.
421 今天/有/几节/课？ | How many classes are there today?
421 一节/课/四十五/分钟。 | A lesson lasts forty-five minutes.
423 考试/结果/怎么样？ | How did the exam go?
423 结果/他/还是/没/来。 | In the end he still didn't come.
430 请/你/解释/一下。 | Please explain.
430 他/向/我/解释了/原因。 | He explained the reason to me.
431 我/接受/你的/道歉。 | I accept your apology.
431 他/不/接受/这个/工作。 | He won't accept this job.
433 我们/要/节约/时间。 | We need to save time.
433 请/节约/用/电。 | Please save electricity.
434 他/说完/话，/接着/就/走了。 | He finished speaking and then left.
434 请/接着/往/下/读。 | Please carry on reading.
436 你/的/计划/是/什么？ | What's your plan?
436 我/计划/明年/去/中国。 | I plan to go to China next year.
438 他/工作/很/积极。 | He's very keen at work.
438 我们/要/积极/参加/活动。 | We should take an active part in events.
441 他/积累了/很多/经验。 | He has built up a lot of experience.
441 知识/需要/慢慢/积累。 | Knowledge has to be built up gradually.
444 这场/比赛/很/精彩。 | This match was brilliant.
444 他的/表演/非常/精彩。 | His performance was wonderful.
445 警察/来了。 | The police are here.
445 我/哥哥/是/一名/警察。 | My older brother is a police officer.
448 中国的/经济/发展/很快。 | China's economy is growing fast.
448 他/在/大学/学习/经济。 | He studies economics at university.
449 你/看过/京剧/吗？ | Have you ever seen Beijing opera?
449 我/爷爷/很/喜欢/京剧。 | My grandpa loves Beijing opera.
450 这/是/一次/很好的/经历。 | This was a very good experience.
450 他/经历了/很多/困难。 | He went through a lot of hardship.
452 他/竟然/忘了/我的/生日。 | He actually forgot my birthday.
452 这么/晚了，/他/竟然/还/没/回来。 | It's so late and he still isn't back.
453 这里的/景色/很/美。 | The scenery here is beautiful.
453 秋天的/景色/最/漂亮。 | The scenery in autumn is the prettiest.
454 尽管/下雨，/他/还是/来了。 | Although it was raining, he still came.
454 尽管/很/难，/我/也/要/试试。 | Even though it's hard, I'm going to try.
455 他/工作/经验/很/丰富。 | He has a lot of work experience.
455 你/有/什么/经验/吗？ | Do you have any experience?
456 这个/工作的/竞争/很/大。 | Competition for this job is fierce.
456 我们/要/公平/竞争。 | We should compete fairly.
457 她/在/照/镜子。 | She's looking in the mirror.
457 洗手间里/有/一个/大/镜子。 | There's a big mirror in the restroom.
459 会议/正在/进行。 | The meeting is in progress.
459 比赛/在/下午/进行。 | The match takes place in the afternoon.
460 考试/前/我/很/紧张。 | I get nervous before exams.
460 别/紧张，/放松/一点儿。 | Don't be nervous, relax a little.
461 图书馆里/禁止/大声/说话。 | Talking loudly is not allowed in the library.
461 这里/禁止/游泳。 | Swimming is prohibited here.
462 既然/你/来了，/就/多/坐/一会儿/吧。 | Since you're here, stay a while.
462 既然/他/不/想/去，/就/别/让/他/去了。 | Since he doesn't want to go, don't make him.
463 即使/很/忙，/他/也/每天/运动。 | Even when he's busy, he exercises every day.
463 即使/失败了，/也/没关系。 | Even if you fail, it doesn't matter.
464 你/来得/很/及时。 | You've come just in time.
464 生病了/要/及时/去/医院。 | If you're ill, go to hospital promptly.
465 他的/技术/很好。 | He's very skilled.
465 这个/公司/有/最新的/技术。 | This company has the latest technology.
470 你/究竟/想/要/什么？ | What exactly do you want?
470 这/究竟/是/怎么/回事？ | What exactly is going on?
471 我们/继续/上课。 | Let's carry on with the lesson.
471 他/毕业后/继续/学习。 | He carried on studying after graduating.
472 记者/问了/很多/问题。 | The reporter asked a lot of questions.
472 我/想/当/一名/记者。 | I want to be a journalist.
473 请/举/手/回答。 | Please raise your hand to answer.
473 他/举了/一个/例子。 | He gave an example.
474 学校/每年/都/举办/运动会。 | The school holds a sports meeting every year.
474 这次/比赛/在/北京/举办。 | This competition is being held in Beijing.
477 明天/有/一个/同学/聚会。 | There's a class reunion tomorrow.
477 我/很少/参加/聚会。 | I rarely go to parties.
478 他/拒绝了/我的/邀请。 | He turned down my invitation.
478 我/不/知道/怎么/拒绝/他。 | I don't know how to say no to him.
479 这里/距离/火车站/不远。 | It's not far from here to the railway station.
479 两个/城市的/距离/很远。 | The two cities are a long way apart.
480 运动会/在/下个月/举行。 | The sports meeting will be held next month.
480 会议/在/哪儿/举行？ | Where is the meeting being held?
485 你/别/开玩笑了。 | Stop joking.
485 他/喜欢/跟/朋友/开玩笑。 | He likes joking with his friends.
486 我/今天/很/开心。 | I'm very happy today.
486 祝/你/每天/都/开心。 | Wishing you happiness every day.
488 我/同意/你的/看法。 | I agree with your view.
488 你/有/什么/看法？ | What's your opinion?
490 我/要/考虑/一下。 | I need to think about it.
