# HSK 1 — extra example sentences (2 more per word).  Format: NO chunk/chunk/chunk。 | English
2 我/爱/我的/妈妈。 | I love my mom.
2 他/很/爱/看/电影。 | He really loves watching movies.
12 我们/班/有/八个/女生。 | There are eight girls in our class.
12 现在/是/晚上/八点。 | It's eight o'clock in the evening.
15 我/爸爸/是/医生。 | My dad is a doctor.
15 爸爸/每天/开车/上班。 | Dad drives to work every day.
39 北京/是/中国的/首都。 | Beijing is the capital of China.
39 他/在/北京/工作。 | He works in Beijing.
40 这个/杯子/是/我的。 | This cup is mine.
40 请/给我/一个/杯子。 | Please give me a cup.
41 我/买了/三本/书。 | I bought three books.
41 这本/词典/很/好。 | This dictionary is very good.
66 我/不/喝/咖啡。 | I don't drink coffee.
66 他/今天/不/上班。 | He isn't working today.
73 A：谢谢你！B：不客气。 | A: Thank you! B: You're welcome.
73 A：你的汉语说得真好！B：谢谢，不客气。 | A: Your Chinese is really good! B: Thanks, you're too kind.
76 我/喜欢/吃/中国菜。 | I like eating Chinese food.
76 这个/菜/很/好吃。 | This dish is delicious.
86 我/爸爸/每天/喝/茶。 | My dad drinks tea every day.
86 请/喝/茶。 | Please have some tea.
103 我/想/吃/苹果。 | I want to eat an apple.
103 你/吃/饭/了吗？ | Have you eaten?
120 我/坐/出租车/回家。 | I'm taking a taxi home.
120 这里/很难/打到/出租车。 | It's hard to get a taxi here.
131 这个/苹果/很/大。 | This apple is very big.
131 他的/房间/非常/大。 | His room is very big.
135 我/正在/打电话，/你/等/一下。 | I'm on the phone, wait a moment.
135 他/每天/给/女朋友/打电话。 | He calls his girlfriend every day.
164 这/是/我/的/书。 | This is my book.
164 我/的/朋友/是/中国人。 | My friend is Chinese.
173 现在/是/三点。 | It's three o'clock now.
173 我们/七点/吃/晚饭。 | We have dinner at seven.
174 我的/电脑/坏了。 | My computer is broken.
174 他/在/用/电脑/工作。 | He's working on the computer.
175 我/不/喜欢/看/电视。 | I don't like watching TV.
175 电视上/在/说/明天的/天气。 | The TV is talking about tomorrow's weather.
177 我们/去/看/电影/吧。 | Let's go and see a movie.
177 这个/电影/很/好看。 | This movie is really good.
194 你/买了/什么/东西？ | What did you buy?
194 我/去/超市/买/东西。 | I'm going to the supermarket to buy some things.
196 我们/都/是/学生。 | We are all students.
196 他们/都/喜欢/喝/茶。 | They all like drinking tea.
197 他/在/读/书。 | He is reading.
197 请/你/读/一下/这个/字。 | Please read this character.
205 对不起，/我/忘了。 | Sorry, I forgot.
205 对不起，/我/不/知道。 | Sorry, I don't know.
209 这里/人/很/多。 | There are a lot of people here.
209 他/有/很多/朋友。 | He has lots of friends.
211 你们/班/有/多少/学生？ | How many students are there in your class?
211 这个/苹果/多少/钱？ | How much is this apple?
214 我/有/二十/块钱。 | I have twenty yuan.
214 他/住在/二楼。 | He lives on the second floor.
218 他/有/两个/儿子。 | He has two sons.
218 我/儿子/在/上/小学。 | My son is at primary school.
221 我们/在/饭店/吃饭。 | We're eating at a restaurant.
221 这个/饭店/很/大。 | This hotel is very big.
241 飞机/几点/到？ | What time does the plane arrive?
241 我/第一次/坐/飞机。 | It's my first time on a plane.
245 请/等/我/五分钟。 | Please wait for me for five minutes.
245 电影/还有/十分钟/开始。 | The movie starts in ten minutes.
274 认识/你/很/高兴。 | Nice to meet you.
274 今天/我/很/高兴。 | I'm very happy today.
275 我/有/三个/朋友。 | I have three friends.
275 他/买了/一个/面包。 | He bought a loaf of bread.
292 我/在/医院/工作。 | I work at a hospital.
292 他的/工作/很/忙。 | His work is very busy.
294 那只/狗/很/大。 | That dog is very big.
294 我/不/喜欢/狗。 | I don't like dogs.
333 我/在/学习/汉语。 | I'm studying Chinese.
333 他的/汉语/说得/很好。 | He speaks Chinese very well.
334 今天/几号？ | What's the date today?
334 我的/生日/是/八月/十号。 | My birthday is on August 10th.
335 这个/主意/很/好。 | This idea is very good.
335 你/好，/我/叫/王方。 | Hello, my name is Wang Fang.
340 我/和/你/一起/去。 | I'll go with you.
340 爸爸/和/妈妈/都/在家。 | Dad and Mom are both at home.
341 你/喝/水/吗？ | Would you like some water?
341 我/每天/喝/牛奶。 | I drink milk every day.
345 他/很/高兴。 | He's very happy.
345 今天/天气/很/好。 | The weather is very nice today.
353 我/坐在/你/后面。 | I'm sitting behind you.
353 商店/后面/有/一个/饭店。 | There's a restaurant behind the shop.
364 我/会/说/汉语。 | I can speak Chinese.
364 明天/会/下雨/吗？ | Will it rain tomorrow?
365 我/晚上/回/家。 | I go home in the evening.
365 他/明天/回/北京。 | He's going back to Beijing tomorrow.
379 现在/几点？ | What time is it now?
379 你/有/几个/孩子？ | How many children do you have?
382 我/家/有/四口/人。 | There are four people in my family.
382 他/家/在/北京。 | His home is in Beijing.
401 我/叫/王明。 | My name is Wang Ming.
401 你/叫/什么/名字？ | What's your name?
458 今天/是/星期一。 | Today is Monday.
458 今天/天气/很/冷。 | It's cold today.
467 我/九点/睡觉。 | I go to bed at nine.
467 这件/衣服/九十/块。 | This costs ninety yuan.
483 请/开/门。 | Please open the door.
483 他/开车/去/公司。 | He drives to the office.
487 我/在/看/书。 | I'm reading a book.
487 你/看，/那是/我/妈妈。 | Look, that's my mom.
489 我/看见/他/了。 | I saw him.
489 你/看见/我的/书/了吗？ | Have you seen my book?
515 一杯/咖啡/二十/块。 | A cup of coffee is twenty yuan.
515 我/只有/五块/钱。 | I only have five yuan.
525 请/来/我家/玩。 | Come over to my place.
525 他/明天/来/北京。 | He's coming to Beijing tomorrow.
536 我/妈妈/是/老师。 | My mom is a teacher.
536 老师/在/教室里。 | The teacher is in the classroom.
537 他/来/了。 | He's here.
537 我/买/了/一本/书。 | I bought a book.
539 冬天/很/冷。 | Winter is very cold.
539 我/有点儿/冷。 | I'm a bit cold.
542 教室/里/有/很多/人。 | There are a lot of people in the classroom.
542 杯子/里/有/水。 | There's water in the cup.
566 我/六点/起床。 | I get up at six.
566 我们/班/有/六个/男生。 | There are six boys in our class.
580 你/喜欢/猫/吗？ | Do you like cats?
580 你/是/老师/吗？ | Are you a teacher?
584 我/想/买/一个/杯子。 | I want to buy a cup.
584 他/买了/很多/水果。 | He bought a lot of fruit.
586 妈妈/在/做饭。 | Mom is cooking.
586 我/很/爱/我/妈妈。 | I love my mom very much.
592 我/家/有/一只/猫。 | We have a cat at home.
592 小猫/在/椅子上/睡觉。 | The kitten is sleeping on the chair.
597 他/没/来。 | He didn't come.
597 我/今天/没/吃/早饭。 | I didn't have breakfast today.
598 A：对不起，我来晚了。B：没关系。 | A: Sorry I'm late. B: That's all right.
598 A：我把你的杯子打破了。B：没关系，我还有。 | A: I broke your cup. B: It doesn't matter, I have another.
608 我/每天/中午/吃/米饭。 | I eat rice every day at noon.
