# HSK 4 (part 4) — extra example sentences (2 more per word).  Format: NO chunk/chunk/chunk。 | English
963 A：明天九点见，行吗？B：行，没问题。 | A: See you at nine tomorrow, OK? B: Sure, no problem.
963 这样/做/不/行。 | Doing it this way won't work.
964 你/醒/了吗？ | Are you awake?
964 我/半夜/醒了/一次。 | I woke up once in the middle of the night.
965 表格上/要/写/性别。 | You have to write your gender on the form.
965 性别/不/重要，/能力/才/重要。 | Gender doesn't matter; ability does.
966 孩子们/兴奋/得/睡不着。 | The children are too excited to sleep.
966 他/兴奋/地/告诉/我/这个/消息。 | He excitedly told me the news.
967 祝/你们/幸福！ | Wishing you happiness!
967 她/有/一个/幸福的/家。 | She has a happy family.
968 他的/性格/很/好。 | He has a good personality.
968 我们/俩/性格/不一样。 | The two of us have different personalities.
971 你/辛苦/了！ | Thanks for all your hard work!
971 这份/工作/很/辛苦。 | This job is very hard.
972 他/今天/心情/不好。 | He's in a bad mood today.
972 听/音乐/能/让/心情/变好。 | Listening to music can lift your mood.
974 我/在/网上/找/信息。 | I'm looking for information online.
974 请/把/你的/信息/写/在/这里。 | Please write your details here.
976 我/对/自己/很/有/信心。 | I'm very confident in myself.
976 你/要/有/信心。 | You need to have confidence.
980 我/会/修理/自行车。 | I can fix bikes.
980 电脑/送去/修理了。 | The computer has been sent for repair.
983 这个/广告/很/吸引/人。 | This advert is very eye-catching.
983 这里的/风景/吸引了/很多/游客。 | The scenery here attracts lots of tourists.
986 我/有/许多/朋友。 | I have many friends.
986 许多/人/喜欢/这首/歌。 | Lots of people like this song.
988 新/学期/开始了。 | The new semester has started.
988 这个/学期/我/很/忙。 | I'm very busy this semester.
993 你/是/谁/呀？ | Who are you?
993 快/来/呀！ | Come quickly!
994 牙膏/用完了。 | The toothpaste has run out.
994 我/要/买/一支/牙膏。 | I need to buy a tube of toothpaste.
995 我/最近/压力/很大。 | I've been under a lot of pressure lately.
995 考试/给/学生/很大的/压力。 | Exams put students under a lot of pressure.
996 请/少/放/点儿/盐。 | Please use less salt.
996 汤里/没有/盐。 | There's no salt in the soup.
997 演出/几点/开始？ | What time does the show start?
997 他们的/演出/很/成功。 | Their performance was a success.
998 我/养成了/早起的/习惯。 | I've got into the habit of getting up early.
998 要/从小/养成/好/习惯。 | Good habits should be formed from a young age.
999 我们的/老师/很/严格。 | Our teacher is very strict.
999 公司/对/我们/要求/很/严格。 | The company is very strict with us.
1000 今天/阳光/很好。 | The sunshine is lovely today.
1000 房间里/有/很多/阳光。 | The room gets a lot of sun.
1002 他/看起来/很/累的/样子。 | He looks very tired.
1002 你/喜欢/这个/样子/的/衣服/吗？ | Do you like clothes in this style?
1004 我的/眼镜/呢？ | Where are my glasses?
1004 他/戴/眼镜/很/好看。 | He looks good in glasses.
1005 他/在/研究/中国/历史。 | He's researching Chinese history.
1005 这个/问题/需要/研究/一下。 | This problem needs looking into.
1007 他/想/当/演员。 | He wants to be an actor.
1007 这个/演员/很/有名。 | This actor is very famous.
1008 他的/病/不/严重。 | His illness isn't serious.
1008 这个/问题/很/严重。 | This problem is very serious.
1011 我/邀请/你/参加/我的/生日/聚会。 | I'd like to invite you to my birthday party.
